text,priority
Children stranded in school,emergency
Fire near school area,emergency
Help required for elderly evacuation,urgent
Need food and water at location X,urgent
"Flood water receding, area safe",safe
Power outage in sector 5,normal
Fire near school area,emergency
Need food and water at location X,urgent
"Road cleared, area safe",safe
"Fallen electric poles, risk of shock",emergency
Temporary shelter needed,urgent
Supplies running low at shelter,urgent
"All clear, situation normal",safe
Volunteers needed for cleaning debris,normal
Medical assistance required at location Y,urgent
"Road cleared, area safe",safe
Power outage in sector 5,normal
"River overflowing, danger to houses",emergency
Need food and water at location X,urgent
Evacuation needed immediately,emergency
Fire near school area,emergency
Fire near school area,emergency
"River overflowing, danger to houses",emergency
"Flood water receding, area safe",safe
Power outage in sector 5,normal
"All clear, situation normal",safe
Volunteers needed for medical aid,normal
Need food and water at location X,urgent
Road blocked due to fallen trees,normal
"Road cleared, area safe",safe
Food distribution point operational,safe
All safe now,safe
Water supply contaminated,urgent
"Road cleared, area safe",safe
Water supply contaminated,urgent
Food distribution point operational,safe
Need food and water at location X,urgent
Medical assistance required at location Y,urgent
Fire near school area,emergency
Volunteers needed for medical aid,normal
Medical assistance required at location Y,urgent
Supplies running low at shelter,urgent
Evacuation needed immediately,emergency
Medical assistance required at location Y,urgent
Volunteers needed for cleaning debris,normal
"All clear, situation normal",safe
"Road cleared, area safe",safe
"Road cleared, area safe",safe
Food distribution point operational,safe
Fire near school area,emergency
Supplies running low at shelter,urgent
"All clear, situation normal",safe
"River overflowing, danger to houses",emergency
All safe now,safe
Water supply contaminated,urgent
"Flood water receding, area safe",safe
"Road cleared, area safe",safe
"Road cleared, area safe",safe
Help required for elderly evacuation,urgent
Medical assistance required at location Y,urgent
Temporary shelter needed,urgent
Supplies running low at shelter,urgent
Volunteers needed for cleaning debris,normal
Medical assistance required at location Y,urgent
Volunteers needed for medical aid,normal
Evacuation needed immediately,emergency
Water supply contaminated,urgent
"Flood water receding, area safe",safe
Fire near school area,emergency
"Road cleared, area safe",safe
Evacuation needed immediately,emergency
Fire near school area,emergency
Need food and water at location X,urgent
Evacuation needed immediately,emergency
Volunteers needed for cleaning debris,normal
"Road cleared, area safe",safe
Temporary shelter needed,urgent
Need food and water at location X,urgent
Road blocked due to fallen trees,normal
"River overflowing, danger to houses",emergency
"River overflowing, danger to houses",emergency
Help required for elderly evacuation,urgent
Medical assistance required at location Y,urgent
Need food and water at location X,urgent
Road blocked due to fallen trees,normal
Food distribution point operational,safe
Volunteers needed for medical aid,normal
Power outage in sector 5,normal
"All clear, situation normal",safe
Help required for elderly evacuation,urgent
Supplies running low at shelter,urgent
Fire near school area,emergency
Water supply contaminated,urgent
"River overflowing, danger to houses",emergency
Children stranded in school,emergency
Water supply contaminated,urgent
All safe now,safe
"River overflowing, danger to houses",emergency
Water supply contaminated,urgent
Evacuation needed immediately,emergency
Volunteers needed for medical aid,normal
Supplies running low at shelter,urgent
Medical assistance required at location Y,urgent
Water supply contaminated,urgent
Temporary shelter needed,urgent
"Flood water receding, area safe",safe
All safe now,safe
Water supply contaminated,urgent
Water supply contaminated,urgent
"Road cleared, area safe",safe
Evacuation needed immediately,emergency
"Fallen electric poles, risk of shock",emergency
Supplies running low at shelter,urgent
All safe now,safe
Supplies running low at shelter,urgent
Medical assistance required at location Y,urgent
Volunteers needed for medical aid,normal
Food distribution point operational,safe
